Trait,Indicator,H2r,pvalue
VOXEL_44_95_140,112.547,0.0983171,0.254949
VOXEL_44_96_124,112.571,0.0993444,0.233553
VOXEL_44_96_125,119.833,0.265468,0.0323935
VOXEL_44_96_133,119.956,0.306039,0.153569
VOXEL_44_97_123,116.854,0.201021,0.110178
VOXEL_44_97_124,121.499,0.337265,0.0439912
VOXEL_44_97_133,117.966,0.238221,0.185163
VOXEL_44_98_87,114.684,0.154361,0.163367
VOXEL_44_98_94,120.884,0.215636,0.0379924
VOXEL_44_98_123,131.451,0.44651,0.00339932
VOXEL_44_98_132,117.571,0.217332,0.114777
VOXEL_44_99_86,111.907,0.111986,0.293741
VOXEL_44_99_87,113.913,0.139634,0.208558
VOXEL_44_99_122,134.84,0.537584,0.00039992
VOXEL_44_99_123,116.257,0.200372,0.169766
VOXEL_44_99_132,119.184,0.187324,0.0795841
VOXEL_44_100_85,108.991,0.0389069,0.423115
VOXEL_44_100_121,124.719,0.293375,0.00779844
VOXEL_44_100_122,121.697,0.276099,0.0469906
VOXEL_44_100_132,127.212,0.302763,0.0039992
VOXEL_44_100_140,116.06,0.153446,0.138972
VOXEL_44_101_85,107.708,0.00452821,0.492102
VOXEL_44_101_121,119.534,0.167515,0.0461908
VOXEL_44_101_138,121.733,0.24476,0.0257948
VOXEL_44_101_139,122.866,0.27036,0.0343931
VOXEL_44_101_140,113.286,0.101714,0.237153
VOXEL_44_102_84,117.037,0.218968,0.14917
VOXEL_44_102_85,110.922,0.0691113,0.34893
VOXEL_44_102_119,122.64,0.334963,0.0219956
VOXEL_44_102_120,122.265,0.22089,0.0279944
VOXEL_44_102_138,113.845,0.120429,0.202959
VOXEL_44_102_139,114.441,0.134494,0.174365
VOXEL_44_102_140,112.731,0.111232,0.222356
VOXEL_44_103_84,118.951,0.241928,0.0805839
VOXEL_44_103_85,114.876,0.151826,0.19776
VOXEL_44_103_118,118.613,0.263206,0.0681864
VOXEL_44_103_119,123.612,0.287101,0.010198
VOXEL_44_103_139,110.467,0.0533485,0.319936
VOXEL_44_104_83,110.825,0.0827268,0.334133
VOXEL_44_104_84,110.95,0.0697311,0.320336
VOXEL_44_104_117,119.442,0.29755,0.0573885
VOXEL_44_104_118,124.408,0.361801,0.004999
VOXEL_44_104_119,125.559,0.344109,0.00179964
VOXEL_44_104_136,118.636,0.222012,0.0475905
VOXEL_44_104_137,110.728,0.0563417,0.328334
VOXEL_44_105_82,119.892,0.262486,0.0727854
VOXEL_44_105_83,116.634,0.202377,0.143971
VOXEL_44_105_84,113.08,0.125092,0.224755
VOXEL_44_105_116,120.791,0.284578,0.0393921
VOXEL_44_105_117,127.727,0.454624,0.0019996
VOXEL_44_105_118,128.006,0.469878,0.00239952
